"分析","方法","n","beta","SE","OR(95%CI)","P"
"Telomere→CHD","Inverse variance weighted",17,"-0.237","0.124","0.79 (0.62-1.01)","0.055"
"Telomere→CHD","Weighted median",17,"-0.357","0.156","0.70 (0.52-0.95)","0.023"
"LDL-C→CHD(在线)","Inverse variance weighted",28,"0.403","0.220","1.50 (0.97-2.30)","0.067"
"LDL-C→CHD(在线)","Weighted median",28,"0.571","0.118","1.77 (1.41-2.23)","<0.001"
"LDL-C→多结局(MR扫描)","Inverse variance weighted",25,"0.577","0.304","1.78 (0.98-3.23)","0.058"
"LDL-C→多结局(MR扫描)","Weighted median",25,"0.661","0.195","1.94 (1.32-2.84)","<0.001"
"LDL-C→多结局(MR扫描)","Inverse variance weighted",28,"0.291","0.255","1.34 (0.81-2.20)","0.254"
"LDL-C→多结局(MR扫描)","Weighted median",28,"0.427","0.069","1.53 (1.34-1.75)","<0.001"
"LDL-C→多结局(MR扫描)","Inverse variance weighted",27,"-0.125","0.197","0.88 (0.60-1.30)","0.527"
"LDL-C→多结局(MR扫描)","Weighted median",27,"0.351","0.209","1.42 (0.94-2.14)","0.093"
"LDL-C→多结局(MR扫描)","Inverse variance weighted",28,"-0.001","0.001","1.00 (1.00-1.00)","0.079"
"LDL-C→多结局(MR扫描)","Weighted median",28,"-0.002","0.001","1.00 (1.00-1.00)","0.058"
"LDL-C→多结局(MR扫描)","Inverse variance weighted",25,"-0.046","0.045","0.96 (0.87-1.04)","0.312"
"LDL-C→多结局(MR扫描)","Weighted median",25,"-0.052","0.053","0.95 (0.86-1.05)","0.328"
"LDL-C→多结局(MR扫描)","Inverse variance weighted",28,"-0.037","0.046","0.96 (0.88-1.05)","0.417"
"LDL-C→多结局(MR扫描)","Weighted median",28,"-0.011","0.067","0.99 (0.87-1.13)","0.865"
"LDL/HDL/TG→CHD(多暴露)","Inverse variance weighted",28,"0.403","0.220","1.50 (0.97-2.30)","0.067"
"LDL/HDL/TG→CHD(多暴露)","Weighted median",28,"0.571","0.116","1.77 (1.41-2.22)","<0.001"
"LDL/HDL/TG→CHD(多暴露)","Inverse variance weighted",66,"-0.301","0.088","0.74 (0.62-0.88)","<0.001"
"LDL/HDL/TG→CHD(多暴露)","Weighted median",66,"-0.412","0.105","0.66 (0.54-0.81)","<0.001"
"LDL/HDL/TG→CHD(多暴露)","Inverse variance weighted",69,"0.207","0.055","1.23 (1.10-1.37)","<0.001"
"LDL/HDL/TG→CHD(多暴露)","Weighted median",69,"0.193","0.047","1.21 (1.11-1.33)","<0.001"
