"暴露","结局文件","beta","n","结局标签","效应方向"
"LDL-C","outcome_ebi-a-GCST005194.csv",0.290939014191869,28,"ebi-a-GCST005194","正向"
"LDL-C","outcome_ieu-a-8.csv",0.576572780891336,25,"ieu-a-8","正向"
"LDL-C","outcome_ieu-b-118.csv",-0.0382906902746167,26,"ieu-b-118","负向"
"LDL-C","outcome_ieu-b-18.csv",-0.130730686515589,28,"ieu-b-18","负向"
"LDL-C","outcome_ieu-b-4872.csv",-0.0370862809591058,28,"ieu-b-4872","负向"
"LDL-C","outcome_ieu-b-4956.csv",-0.0013724974643281,28,"ieu-b-4956","负向"
"LDL-C","online_outcome_ieu-b-110.csv",0.371956731118463,29,"online_ieu-b-110","正向"
"HDL-C","online_outcome_ieu-b-109.csv",-0.306088580453532,67,"online_ieu-b-109","负向"
"TG","outcome_ebi-a-GCST005194.csv",0.205776419166652,5,"ebi-a-GCST005194","正向"
"TG","outcome_ieu-a-8.csv",0.424059456648187,4,"ieu-a-8","正向"
"TG","outcome_ieu-b-118.csv",-0.0430421607083933,5,"ieu-b-118","负向"
"TG","outcome_ieu-b-18.csv",-0.0607962027931925,5,"ieu-b-18","负向"
"TG","outcome_ieu-b-4872.csv",-0.0206001823764069,5,"ieu-b-4872","负向"
"TG","outcome_ieu-b-4956.csv",-0.000109021051689785,5,"ieu-b-4956","负向"
"TG","online_outcome_ieu-b-111.csv",0.208173111756715,70,"online_ieu-b-111","正向"
