"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","trait","outcome_id","OR","OR_lci","OR_uci","sig"
"dwP9Q1","iEmTwa","outcome","exposure","Inverse variance weighted",25,0.576572780891336,0.303806068675996,0.0577182588861382,"CHD (CARDIoGRAM 2011)","ieu-a-8",1.77992776299129,0.981290130189261,3.22854856479209,"NS"
"dwP9Q1","iEmTwa","outcome","exposure","Weighted median",25,0.661290702769099,0.194784156958462,0.000686305439382216,"CHD (CARDIoGRAM 2011)","ieu-a-8",1.93729118851773,1.32248660364566,2.83790938884553,"P<0.05"
"vsg2kA","NZEz0L","outcome","exposure","Inverse variance weighted",28,0.290939014191869,0.254874408789461,0.253662113425763,"CAD (2022)","ebi-a-GCST005194",1.3376830017835,0.811707823348027,2.20448264977888,"NS"
"vsg2kA","NZEz0L","outcome","exposure","Weighted median",28,0.426932345384579,0.0688170854761984,5.50908245646995e-10,"CAD (2022)","ebi-a-GCST005194",1.53254897420512,1.33917112327318,1.75385080929501,"P<0.05"
"dWXyte","rryfoo","outcome","exposure","Inverse variance weighted",27,-0.124669736457463,0.196889182370378,0.526604683387145,"Multiple sclerosis","ieu-b-18",0.882788407271957,0.600151873135518,1.2985302669176,"NS"
"dWXyte","rryfoo","outcome","exposure","Weighted median",27,0.35054132535998,0.208567645509129,0.0928196319496804,"Multiple sclerosis","ieu-b-18",1.41983593379927,0.943412875888485,2.1368524115267,"NS"
"MR9vT0","jwfl7v","outcome","exposure","Inverse variance weighted",28,-0.0013724974643281,0.000782182514443306,0.079310240840044,"Lymphoid leukaemia","ieu-b-4956",0.998628443979558,0.997098641905609,1.00016059315768,"NS"
"MR9vT0","jwfl7v","outcome","exposure","Weighted median",28,-0.00209503854505502,0.00110536764277947,0.0580484456583324,"Lymphoid leukaemia","ieu-b-4956",0.997907154516414,0.995747508432967,1.00007148458969,"NS"
"27B20p","V3gvRr","outcome","exposure","Inverse variance weighted",25,-0.0457832657702657,0.0453272237375868,0.312466014610416,"HOMA-IR (T2D 相关)","ieu-b-118",0.955248974907314,0.874043944977548,1.04399854184095,"NS"
"27B20p","V3gvRr","outcome","exposure","Weighted median",25,-0.0518932437021387,0.0530923293656796,0.328363697083987,"HOMA-IR (T2D 相关)","ieu-b-118",0.949430219088066,0.855598367957404,1.05355243146337,"NS"
"BKg8Va","qG2QHU","outcome","exposure","Inverse variance weighted",28,-0.0370862809591058,0.0457355161210942,0.417431250885851,"Oestradiol","ieu-b-4872",0.963592992034722,0.880973359394057,1.05396087679322,"NS"
"BKg8Va","qG2QHU","outcome","exposure","Weighted median",28,-0.0114137315808466,0.0670298983517186,0.864791341352895,"Oestradiol","ieu-b-4872",0.988651157941619,0.866934084366966,1.1274572423958,"NS"
